Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,05640a4401000a006e25d8fd8200007372,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 30, 32, 34]",0564 0a 44 01 00 0a 00 6e 25 d8 fd 82 0000 73 72,"[0, 2, 3, 4, 6, 8, 10, 11, 15, 17]",0564 0a 44 0100 0a00 6e25 d8 fd820000 7372,1.0,0.4444444444444444,0.5714285714285714,1.0,0.8181818181818182,0.7272727272727273,0.24
2,056414c40a0001008fedc0c0013c02063c03063c04063c01068a51,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 50, 52, 54]",0564 14 c4 0a 00 01 00 8f ed c0 c0 013c02063c03063c04063c0106 8a 51,"[0, 2, 3, 4, 6, 8, 10, 11, 25, 27]",0564 14 c4 0a00 0100 8fed c0 c0013c02063c03063c04063c0106 8a51,1.0,0.4444444444444444,0.6153846153846154,1.0,0.9056603773584906,0.761904761904762,0.1111111111111111
3,056408c40a000100fc42c1dd00b3a3,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",0564 08 c4 0a 00 01 00 fc 42 c1 dd 00 b3 a3,"[0, 2, 3, 4, 6, 8, 10, 11, 13, 15]",0564 08 c4 0a00 0100 fc42 c1 dd00 b3a3,1.0,0.4444444444444444,0.6153846153846154,1.0,0.8275862068965517,0.761904761904762,0.23809523809523808
4,0564ff4401000a005aeb59c08100000102000009020202020202a7570202020203020000090202020202020270da02020214010000090200000000020000e30b000002000000000200000000020000004dba000200000000020000000002000000007eae02000000000200000000150100000902d3420000000002000000000200000000020069ce00000002000000000200000000020000dd5e000002000000000200000000020000004dba001e0500000002000000001e0100010941e902000000000200000000020000000002f0030000000002000000000200000000020069ce000000020000000002000000000a0200f888000902020202020202020202280100002c6a090200000000020000000002000000006015020000000002000000004e72,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 52, 54, 56, 584]",0564 ff 44 01 00 0a 00 5a eb 59 c0 8100000102000009020202020202 a7 57 0202020203020000090202020202020270da02020214010000090200000000020000e30b000002000000000200000000020000004dba000200000000020000000002000000007eae02000000000200000000150100000902d3420000000002000000000200000000020069ce00000002000000000200000000020000dd5e000002000000000200000000020000004dba001e0500000002000000001e0100010941e902000000000200000000020000000002f0030000000002000000000200000000020069ce000000020000000002000000000a0200f888000902020202020202020202280100002c6a090200000000020000000002000000006015020000000002000000004e72,"[0, 2, 3, 4, 6, 8, 10, 11, 26, 28, 44, 46, 62, 64, 80, 82, 98, 100, 116, 118, 134, 136, 152, 154, 170, 172, 188, 190, 206, 208, 224, 226, 242, 244, 260, 262, 278, 280, 290, 292]",0564 ff 44 0100 0a00 5aeb 59 c08100000102000009020202020202 a757 02020202030200000902020202020202 70da 02020214010000090200000000020000 e30b 00000200000000020000000002000000 4dba 00020000000002000000000200000000 7eae 02000000000200000000150100000902 d342 00000000020000000002000000000200 69ce 00000002000000000200000000020000 dd5e 00000200000000020000000002000000 4dba 001e0500000002000000001e01000109 41e9 02000000000200000000020000000002 f003 00000000020000000002000000000200 69ce 000000020000000002000000000a0200 f888 00090202020202020202020228010000 2c6a 09020000000002000000000200000000 6015 02000000000200000000 4e72,1.0,0.10256410256410256,0.6428571428571429,0.23684210526315788,0.9416809605488851,0.34615384615384615,0.009174311926605505
5,05641f4401000a0026a59a020000000002000000000200000000a554020000000002000000004e72,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 52, 54, 56, 80]",0564 1f 44 01 00 0a 00 26 a5 9a 020000000002000000000200000000 a5 54 020000000002000000004e72,"[0, 2, 3, 4, 6, 8, 10, 11, 26, 28, 38, 40]",0564 1f 44 0100 0a00 26a5 9a 020000000002000000000200000000 a554 02000000000200000000 4e72,1.0,0.45454545454545453,0.6923076923076923,0.9,0.9367088607594937,0.7826086956521738,0.057971014492753624
6,056411c40a0001000615c2c1143c02063c03063c04064114,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 48]",0564 11 c4 0a 00 01 00 06 15 c2 c1143c02063c03063c04064114,"[0, 2, 3, 4, 6, 8, 10, 11, 22, 24]",0564 11 c4 0a00 0100 0615 c2 c1143c02063c03063c0406 4114,1.0,0.4444444444444444,0.7,0.875,0.9148936170212766,0.7777777777777777,0.07692307692307693
7,05640a4401000a006e25dbc1810000a5b0,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 30, 32, 34]",0564 0a 44 01 00 0a 00 6e 25 db c1 81 0000 a5 b0,"[0, 2, 3, 4, 6, 8, 10, 11, 15, 17]",0564 0a 44 0100 0a00 6e25 db c1810000 a5b0,1.0,0.4444444444444444,0.5714285714285714,1.0,0.8181818181818182,0.7272727272727273,0.24
8,056414c40a0001008fedc3c2013c02063c03063c04063c0106429e,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 50, 52, 54]",0564 14 c4 0a 00 01 00 8f ed c3 c2 013c02063c03063c04063c0106 42 9e,"[0, 2, 3, 4, 6, 8, 10, 11, 25, 27]",0564 14 c4 0a00 0100 8fed c3 c2013c02063c03063c04063c0106 429e,1.0,0.4444444444444444,0.6153846153846154,1.0,0.9056603773584906,0.761904761904762,0.1111111111111111
9,0564ff4401000a005aeb5cc2810000010200000902020202020252bd0202020203020000090202020202020270da02020214010000090200000000020000e30b000002000000000200000000020000004dba000200000000020000000002000000007eae02000000000200000000150100000902d3420000000002000000000200000000020069ce00000002000000000200000000020000dd5e000002000000000200000000020000004dba001e0500000002000000001e0100010941e902000000000200000000020000000002f0030000000002000000000200000000020069ce000000020000000002000000000a0200f888000902020202020202020202280100002c6a090200000000020000000002000000006015020000000002000000004e72,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 52, 54, 56, 584]",0564 ff 44 01 00 0a 00 5a eb 5c c2 8100000102000009020202020202 52 bd 0202020203020000090202020202020270da02020214010000090200000000020000e30b000002000000000200000000020000004dba000200000000020000000002000000007eae02000000000200000000150100000902d3420000000002000000000200000000020069ce00000002000000000200000000020000dd5e000002000000000200000000020000004dba001e0500000002000000001e0100010941e902000000000200000000020000000002f0030000000002000000000200000000020069ce000000020000000002000000000a0200f888000902020202020202020202280100002c6a090200000000020000000002000000006015020000000002000000004e72,"[0, 2, 3, 4, 6, 8, 10, 11, 26, 28, 44, 46, 62, 64, 80, 82, 98, 100, 116, 118, 134, 136, 152, 154, 170, 172, 188, 190, 206, 208, 224, 226, 242, 244, 260, 262, 278, 280, 290, 292]",0564 ff 44 0100 0a00 5aeb 5c c28100000102000009020202020202 52bd 02020202030200000902020202020202 70da 02020214010000090200000000020000 e30b 00000200000000020000000002000000 4dba 00020000000002000000000200000000 7eae 02000000000200000000150100000902 d342 00000000020000000002000000000200 69ce 00000002000000000200000000020000 dd5e 00000200000000020000000002000000 4dba 001e0500000002000000001e01000109 41e9 02000000000200000000020000000002 f003 00000000020000000002000000000200 69ce 000000020000000002000000000a0200 f888 00090202020202020202020228010000 2c6a 09020000000002000000000200000000 6015 02000000000200000000 4e72,1.0,0.10256410256410256,0.6428571428571429,0.23684210526315788,0.9416809605488851,0.34615384615384615,0.009174311926605505
10,05641f4401000a0026a59d02000000000200000000020000000078f9020000000002000000004e72,"[0, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 52, 54, 56, 80]",0564 1f 44 01 00 0a 00 26 a5 9d 020000000002000000000200000000 78 f9 020000000002000000004e72,"[0, 2, 3, 4, 6, 8, 10, 11, 26, 28, 38, 40]",0564 1f 44 0100 0a00 26a5 9d 020000000002000000000200000000 78f9 02000000000200000000 4e72,1.0,0.45454545454545453,0.6923076923076923,0.9,0.9367088607594937,0.7826086956521738,0.057971014492753624
