Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,ab26010000010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 62]",ab 26 01 00 0001000000000000 04 74 69 6d 65 04 6e 69 73 74 03 67 6f 76 0000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab26 0100 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,0.95,0.0,0.15789473684210525,0.375,0.6557377049180327,0.22222222222222218,0.3018867924528302
2,ab26818500010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 62]",ab 26 81 85 0001000000000000 0474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab26 8185 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,1.0,0.0,0.6,0.375,0.8852459016393442,0.4615384615384615,0.03773584905660377
3,ab27010000010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 62]",ab 27 01 00 0001000000000000 04 74 69 6d 65 04 6e 69 73 74 03 67 6f 76 0000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab27 0100 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,0.95,0.0,0.15789473684210525,0.375,0.6557377049180327,0.22222222222222218,0.3018867924528302
4,ab27818500010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 62]",ab 27 81 85 0001000000000000 0474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab27 8185 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,1.0,0.0,0.6,0.375,0.8852459016393442,0.4615384615384615,0.03773584905660377
5,ab28010000010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 62]",ab 28 01 00 0001000000000000 04 74 69 6d 65 04 6e 69 73 74 03 67 6f 76 0000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab28 0100 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,0.95,0.0,0.15789473684210525,0.375,0.6557377049180327,0.22222222222222218,0.3018867924528302
6,ab28818500010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 62]",ab 28 81 85 0001000000000000 0474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab28 8185 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,1.0,0.0,0.6,0.375,0.8852459016393442,0.4615384615384615,0.03773584905660377
7,ab29010000010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 62]",ab 29 01 00 0001000000000000 04 74 69 6d 65 04 6e 69 73 74 03 67 6f 76 0000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab29 0100 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,0.95,0.0,0.15789473684210525,0.375,0.6557377049180327,0.22222222222222218,0.3018867924528302
8,ab29818500010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 62]",ab 29 81 85 0001000000000000 0474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab29 8185 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,1.0,0.0,0.6,0.375,0.8852459016393442,0.4615384615384615,0.03773584905660377
9,ab2a010000010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 62]",ab 2a 01 00 0001000000000000 04 74 69 6d 65 04 6e 69 73 74 03 67 6f 76 0000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab2a 0100 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,0.95,0.0,0.15789473684210525,0.375,0.6557377049180327,0.22222222222222218,0.3018867924528302
10,ab2a818500010000000000000474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 24, 62]",ab 2a 81 85 0001000000000000 0474696d65046e69737403676f760000010001,"[0, 2, 4, 6, 8, 10, 12, 27, 29, 31]",ab2a 8185 0001 0000 0000 0000 0474696d65046e69737403676f7600 0001 0001,1.0,0.0,0.6,0.375,0.8852459016393442,0.4615384615384615,0.03773584905660377
