Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,250406ec0000026d000015700a6400c8d24243fc4ced07a400000000000000000000000000000000d242455e4c17e7f0,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",25 04 06 ec 0000 02 6d 0000 15 70 0a 64 00 c8 d242 43 fc 4c ed 07 a4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d24245 5e 4c 17 e7 f0,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",25 04 06 ec 0000026d 00001570 0a6400c8 d24243fc4ced07a4 0000000000000000 0000000000000000 d242455e4c17e7f0,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
2,e30006ed000000000000003653544550d24242ae21756b0800000000000000000000000000000000d242456626aa7980,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",e3 00 06 ed 0000 00 00 0000 00 36 53 54 45 50 d242 42 ae 21 75 6b 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d24245 66 26 aa 79 80,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",e3 00 06 ed 00000000 00000036 53544550 d24242ae21756b08 0000000000000000 0000000000000000 d242456626aa7980,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
3,e30006ed000000000000003653544550d24242ae21756b0800000000000000000000000000000000d242456626aa7980,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",e3 00 06 ed 0000 00 00 0000 00 36 53 54 45 50 d242 42 ae 21 75 6b 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d24245 66 26 aa 79 80,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",e3 00 06 ed 00000000 00000036 53544550 d24242ae21756b08 0000000000000000 0000000000000000 d242456626aa7980,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
4,e30006ed000000000000003653544550d24242ae21756b0800000000000000000000000000000000d242456626aa7980,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",e3 00 06 ed 0000 00 00 0000 00 36 53 54 45 50 d242 42 ae 21 75 6b 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d24245 66 26 aa 79 80,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",e3 00 06 ed 00000000 00000036 53544550 d24242ae21756b08 0000000000000000 0000000000000000 d242456626aa7980,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
5,e30006ed000000000000003653544550d24242ae21756b0800000000000000000000000000000000d242456626aa7980,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",e3 00 06 ed 0000 00 00 0000 00 36 53 54 45 50 d242 42 ae 21 75 6b 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d24245 66 26 aa 79 80,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",e3 00 06 ed 00000000 00000036 53544550 d24242ae21756b08 0000000000000000 0000000000000000 d242456626aa7980,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
6,e30006ed000000000000003653544550d24242ae21756b0800000000000000000000000000000000d242456626aa7980,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",e3 00 06 ed 0000 00 00 0000 00 36 53 54 45 50 d242 42 ae 21 75 6b 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d24245 66 26 aa 79 80,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",e3 00 06 ed 00000000 00000036 53544550 d24242ae21756b08 0000000000000000 0000000000000000 d242456626aa7980,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
7,e30006ed000000000000003653544550d24242ae21756b0800000000000000000000000000000000d242456626aa7980,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",e3 00 06 ed 0000 00 00 0000 00 36 53 54 45 50 d242 42 ae 21 75 6b 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 d24245 66 26 aa 79 80,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",e3 00 06 ed 00000000 00000036 53544550 d24242ae21756b08 0000000000000000 0000000000000000 d242456626aa7980,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
8,240306ea000001c30000119bc0790d05d2423e4413f32841d242456626aa7980d242456617f3e7efd242456617f4a75d,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",24 03 06 ea 0000 01 c3 0000 11 9b c0 79 0d 05 d242 3e 44 13 f3 28 41 d2 42 45 66 26 aa 79 80 d2 42 45 66 17 f3 e7 ef d24245 66 17 f4 a7 5d,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",24 03 06 ea 000001c3 0000119b c0790d05 d2423e4413f32841 d242456626aa7980 d242456617f3e7ef d242456617f4a75d,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
9,240306ea000001c30000119bc0790d05d2423e4413f32841d242456626aa7980d242456617f3e7efd242456617f4a75d,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",24 03 06 ea 0000 01 c3 0000 11 9b c0 79 0d 05 d242 3e 44 13 f3 28 41 d2 42 45 66 26 aa 79 80 d2 42 45 66 17 f3 e7 ef d24245 66 17 f4 a7 5d,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",24 03 06 ea 000001c3 0000119b c0790d05 d2423e4413f32841 d242456626aa7980 d242456617f3e7ef d242456617f4a75d,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
10,240306ea000001c30000119bc0790d05d2423e4413f32841d242456626aa7980d242456617f3e7efd242456617f4a75d,"[0, 2, 4, 6, 8, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 86, 88, 90, 92, 94, 96]",24 03 06 ea 0000 01 c3 0000 11 9b c0 79 0d 05 d242 3e 44 13 f3 28 41 d2 42 45 66 26 aa 79 80 d2 42 45 66 17 f3 e7 ef d24245 66 17 f4 a7 5d,"[0, 1, 2, 3, 4, 8, 12, 16, 24, 32, 40, 48]",24 03 06 ea 000001c3 0000119b c0790d05 d2423e4413f32841 d242456626aa7980 d242456617f3e7ef d242456617f4a75d,1.0,0.36363636363636365,0.23809523809523808,1.0,0.6631578947368421,0.3846153846153846,0.3764705882352941
