Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,0300006302f0803201000001c5005200000405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 34, 198]",030000 63 02f08032 01 000001 c5 00 52 0000 0405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 35, 51, 67, 83, 99]",03 00 0063 02 f0 80 32 01 0000 01c5 0052 0000 04 05 120eb2ff00000052ea2db0d940000010 120eb2ff0000005278041f0f40000011 120eb2ff000000526b1223fc40000012 120eb2ff00000052f93b8c2a40000013 120eb2ff000000524d3e5a1a40000014,0.8,0.10526315789473684,0.6666666666666666,0.3333333333333333,0.9238578680203046,0.4444444444444444,0.01675977653631285
2,0300003202f0803203000001c50002001d00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 32, 34, 100]",030000 32 02f08032 03 000001 c5 00 02 00 1d 00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 20, 21, 26, 27, 32, 33, 38, 39, 44, 45, 50]",03 00 0032 02 f0 80 32 03 0000 01c5 0002 001d 00 00 04 05 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100,0.8181818181818182,0.04,0.6,0.25,0.7777777777777778,0.35294117647058826,0.05333333333333334
3,0300006302f0803201000001c6005200000405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 34, 198]",030000 63 02f08032 01 000001 c6 00 52 0000 0405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 35, 51, 67, 83, 99]",03 00 0063 02 f0 80 32 01 0000 01c6 0052 0000 04 05 120eb2ff00000052ea2db0d940000010 120eb2ff0000005278041f0f40000011 120eb2ff000000526b1223fc40000012 120eb2ff00000052f93b8c2a40000013 120eb2ff000000524d3e5a1a40000014,0.8,0.10526315789473684,0.6666666666666666,0.3333333333333333,0.9238578680203046,0.4444444444444444,0.01675977653631285
4,0300003202f0803203000001c60002001d00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 32, 34, 100]",030000 32 02f08032 03 000001 c6 00 02 00 1d 00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 20, 21, 26, 27, 32, 33, 38, 39, 44, 45, 50]",03 00 0032 02 f0 80 32 03 0000 01c6 0002 001d 00 00 04 05 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100,0.8181818181818182,0.04,0.6,0.25,0.7777777777777778,0.35294117647058826,0.05333333333333334
5,0300006302f0803201000001c7005200000405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 34, 198]",030000 63 02f08032 01 000001 c7 00 52 0000 0405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 35, 51, 67, 83, 99]",03 00 0063 02 f0 80 32 01 0000 01c7 0052 0000 04 05 120eb2ff00000052ea2db0d940000010 120eb2ff0000005278041f0f40000011 120eb2ff000000526b1223fc40000012 120eb2ff00000052f93b8c2a40000013 120eb2ff000000524d3e5a1a40000014,0.8,0.10526315789473684,0.6666666666666666,0.3333333333333333,0.9238578680203046,0.4444444444444444,0.01675977653631285
6,0300003202f0803203000001c70002001d00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 32, 34, 100]",030000 32 02f08032 03 000001 c7 00 02 00 1d 00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 20, 21, 26, 27, 32, 33, 38, 39, 44, 45, 50]",03 00 0032 02 f0 80 32 03 0000 01c7 0002 001d 00 00 04 05 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100,0.8181818181818182,0.04,0.6,0.25,0.7777777777777778,0.35294117647058826,0.05333333333333334
7,0300006302f0803201000001c8005200000405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 34, 198]",030000 63 02f08032 01 000001 c8 00 52 0000 0405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 35, 51, 67, 83, 99]",03 00 0063 02 f0 80 32 01 0000 01c8 0052 0000 04 05 120eb2ff00000052ea2db0d940000010 120eb2ff0000005278041f0f40000011 120eb2ff000000526b1223fc40000012 120eb2ff00000052f93b8c2a40000013 120eb2ff000000524d3e5a1a40000014,0.8,0.10526315789473684,0.6666666666666666,0.3333333333333333,0.9238578680203046,0.4444444444444444,0.01675977653631285
8,0300003202f0803203000001c80002001d00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 32, 34, 100]",030000 32 02f08032 03 000001 c8 00 02 00 1d 00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 20, 21, 26, 27, 32, 33, 38, 39, 44, 45, 50]",03 00 0032 02 f0 80 32 03 0000 01c8 0002 001d 00 00 04 05 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100,0.8181818181818182,0.04,0.6,0.25,0.7777777777777778,0.35294117647058826,0.05333333333333334
9,0300006302f0803201000001c9005200000405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 34, 198]",030000 63 02f08032 01 000001 c9 00 52 0000 0405120eb2ff00000052ea2db0d940000010120eb2ff0000005278041f0f40000011120eb2ff000000526b1223fc40000012120eb2ff00000052f93b8c2a40000013120eb2ff000000524d3e5a1a40000014,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 35, 51, 67, 83, 99]",03 00 0063 02 f0 80 32 01 0000 01c9 0052 0000 04 05 120eb2ff00000052ea2db0d940000010 120eb2ff0000005278041f0f40000011 120eb2ff000000526b1223fc40000012 120eb2ff00000052f93b8c2a40000013 120eb2ff000000524d3e5a1a40000014,0.8,0.10526315789473684,0.6666666666666666,0.3333333333333333,0.9238578680203046,0.4444444444444444,0.01675977653631285
10,0300003202f0803203000001c90002001d00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 6, 8, 16, 18, 24, 26, 28, 30, 32, 34, 100]",030000 32 02f08032 03 000001 c9 00 02 00 1d 00000405ff0300010000ff0300010000ff0300010000ff0300010000ff03000100,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 20, 21, 26, 27, 32, 33, 38, 39, 44, 45, 50]",03 00 0032 02 f0 80 32 03 0000 01c9 0002 001d 00 00 04 05 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100 00 ff03000100,0.8181818181818182,0.04,0.6,0.25,0.7777777777777778,0.35294117647058826,0.05333333333333334
