Index,HexData,Length,Protocol,FunctionCode,HasBoundary,BoundaryCount,SemanticType,SemanticFunction,Label,Boundaries,SemanticTypes,SemanticFunctions
0,01010600c60e4b270000000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
1,01010600c60e4b270003000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
2,01010600c60e4b270009000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
3,01010600c60e4b270014000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
4,01010600c60e4b270020000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
5,01010600c9e6b60c0000000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
6,01010600c9e6b60c0003000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
7,01010600c9e6b60c0008000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
8,01010600c9e6b60c0010000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
9,01010600c9e6b60c0024000000000000000000000000000000000000ecf4bb5189ec00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501010c07736e69666665723712011c02030f06770c2c2f1a792a79f921fc2aff000000000000000000000000000000000000000000000000000000,300,DHCP,DHCP_0101,1,17,FLAGS,CONTROL_CMD,DHCP_0101,"1,2,3,4,8,10,12,16,20,24,28,44,108,236,240,244,246","{""0"": ""COMMAND"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""FLAGS"", ""23"": ""FLAGS"", ""24"": ""FLAGS"", ""27"": ""FLAGS"", ""28"": ""PAYLOAD"", ""43"": ""PAYLOAD"", ""44"": ""STRING"", ""107"": ""STRING"", ""108"": ""STRING"", ""235"": ""STRING"", ""236"": ""HEADER"", ""239"": ""HEADER"", ""240"": ""FLAGS"", ""241"": ""FLAGS"", ""242"": ""COMMAND"", ""243"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""2"": ""DATA_LENGTH"", ""241"": ""DATA_LENGTH"", ""242"": ""CONTROL_CMD""}"
