Index,HexData,Length,Protocol,FunctionCode,HasBoundary,BoundaryCount,SemanticType,SemanticFunction,Label,Boundaries,SemanticTypes,SemanticFunctions
0,05640a4401000a006e25d3f7820000b67f,17,DNP3,DATA_LINK_LAYER,1,12,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
1,0564ff4401000a005aeb5dc28100000102000009020202020202def00202020203020000090202020202020270da02020214010000090200000000020000e30b000002000000000200000000020000004dba000200000000020000000002000000007eae02000000000200000000150100000902d3420000000002000000000200000000020069ce00000002000000000200000000020000dd5e000002000000000200000000020000004dba001e0500000002000000001e0100010941e902000000000200000000020000000002f0030000000002000000000200000000020069ce000000020000000002000000000a0200f888000902020202020202020202280100002c6a090200000000020000000002000000006015020000000002000000004e72,292,DNP3,DATA_LINK_LAYER,1,24,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
2,05640a4401000a006e25f8c1810000f2cd,17,DNP3,DATA_LINK_LAYER,1,12,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
3,056414c40a0001008fedc0c0013c02063c03063c04063c01068a51,27,DNP3,DATA_LINK_LAYER,1,22,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
4,05640bc40a000100acd1c9c8013c0206269a,18,DNP3,DATA_LINK_LAYER,1,13,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16,17","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
5,05640a4401000a006e25e2c8810000e243,17,DNP3,DATA_LINK_LAYER,1,12,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
6,05640bc40a000100acd1c7c6013c02067ef4,18,DNP3,DATA_LINK_LAYER,1,13,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16,17","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
7,05640bc40a000100acd1c6c5013c02069324,18,DNP3,DATA_LINK_LAYER,1,13,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16,17","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
8,05641f4401000a0026a5b4020000000002000000000200000000a54f020000000002000000004e72,40,DNP3,DATA_LINK_LAYER,1,24,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
9,05640bc40a000100acd1c7c6013c02067ef4,18,DNP3,DATA_LINK_LAYER,1,13,FLAGS,VALIDATION,DATA_LINK_LAYER,"2,3,5,7,9,10,11,12,13,14,15,16,17","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""COMMAND"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""HEADER"", ""11"": ""HEADER"", ""12"": ""COMMAND"", ""13"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""8"": ""VALIDATION"", ""9"": ""VALIDATION"", ""12"": ""CONTROL_CMD""}"
