Index,HexData,Length,Protocol,FunctionCode,HasBoundary,BoundaryCount,SemanticType,SemanticFunction,Label,Boundaries,SemanticTypes,SemanticFunctions
0,60d5010000010000000000000b6476672d67657374616c740264650000010001,32,DNS,DNS_STANDARD_QUERY,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_QUERY,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
1,60d5010000010000000000000b6476672d67657374616c740264650000010001,32,DNS,DNS_STANDARD_QUERY,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_QUERY,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
2,60d5818000010001000000000b6476672d67657374616c740264650000010001c00c0001000100001c1f000458c61c28,48,DNS,DNS_STANDARD_RESPONSE,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_RESPONSE,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
3,60d5818000010001000000000b6476672d67657374616c740264650000010001c00c0001000100001c1f000458c61c28,48,DNS,DNS_STANDARD_RESPONSE,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_RESPONSE,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
4,0a7c01000001000000000000037777770b6476672d67657374616c740264650000010001,36,DNS,DNS_STANDARD_QUERY,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_QUERY,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
5,0a7c81800001000100000000037777770b6476672d67657374616c740264650000010001c00c0001000100001c1f000458c61c28,52,DNS,DNS_STANDARD_RESPONSE,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_RESPONSE,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
6,89cf0100000100000000000008647867616c61787903636f6d0000010001,30,DNS,DNS_STANDARD_QUERY,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_QUERY,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
7,89cf8180000100010000000008647867616c61787903636f6d0000010001c00c00010001000002570004323e0685,46,DNS,DNS_STANDARD_RESPONSE,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_RESPONSE,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
8,d9a3010000010000000000000377777708647867616c61787903636f6d0000010001,34,DNS,DNS_STANDARD_QUERY,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_QUERY,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
9,d9a3818000010001000000000377777708647867616c61787903636f6d0000010001c00c00010001000007070004323e0685,50,DNS,DNS_STANDARD_RESPONSE,1,6,FLAGS,DATA_LENGTH,DNS_STANDARD_RESPONSE,"2,4,6,8,10,12","{""0"": ""FLAGS"", ""1"": ""FLAGS"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""FLAGS"", ""8"": ""FLAGS"", ""9"": ""FLAGS"", ""10"": ""FLAGS"", ""11"": ""FLAGS"", ""12"": ""PAYLOAD""}","{""2"": ""CONTROL_CMD"", ""3"": ""CONTROL_CMD"", ""4"": ""DATA_LENGTH"", ""5"": ""DATA_LENGTH"", ""6"": ""DATA_LENGTH"", ""7"": ""DATA_LENGTH"", ""8"": ""DATA_LENGTH"", ""9"": ""DATA_LENGTH"", ""10"": ""DATA_LENGTH"", ""11"": ""DATA_LENGTH""}"
