Index,HexData,Length,Protocol,FunctionCode,HasBoundary,BoundaryCount,SemanticType,SemanticFunction,Label,Boundaries,SemanticTypes,SemanticFunctions
0,3232302d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d0d0a,82,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
1,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
2,3232302d57656c636f6d6520746f2074686520556e6976657273697479206f66204b656e74277320554b204d6972726f7220536572766963652e0d0a,60,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
3,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
4,3232302d0d0a,6,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
5,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
6,3232302d4d6f726520696e666f726d6174696f6e2063616e20626520666f756e64206174206f75722077656220736974653a20687474703a2f2f7777772e6d6972726f72736572766963652e6f72672f0d0a,82,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
7,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
8,3232302d506c656173652073656e6420636f6d6d656e7473206f72207175657374696f6e7320746f2068656c70406d6972726f72736572766963652e6f72672e0d0a,66,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
9,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
10,3232302d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d0d0a,82,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
11,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
12,323230200d0a,6,FTP,FTP_SERVICE_READY,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
13,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
14,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
15,3232302d0d0a,6,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
16,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
17,3232302d57656c636f6d6520746f207468652053696d696e6e206d6972726f7220736572766963652c20737065676c61722e73696d696e6e2e69732028687474703a2f2f737065676c61722e73696d696e6e2e6973290d0a,88,FTP,FTP_SERVICE_READY_MULTILINE,1,3,COMMAND,CONTROL_CMD,FTP_SERVICE_READY_MULTILINE,"0,3,4","{""0"": ""COMMAND"", ""2"": ""COMMAND"", ""3"": ""STRING"", ""4"": ""STRING""}","{""0"": ""CONTROL_CMD"", ""2"": ""CONTROL_CMD"", ""3"": ""DELIMITER""}"
18,000000000000,6,FTP,FTP_PADDING,0,0,PADDING,RESERVED,FTP_PADDING,,{},{}
