Index,HexData,Length,Protocol,FunctionCode,HasBoundary,BoundaryCount,SemanticType,SemanticFunction,Label,Boundaries,SemanticTypes,SemanticFunctions
0,0300001b02f080320300000200000800000000f0000001000100f0,27,S7COMM,S7COMM_ACK_DATA,1,12,FLAGS,DATA_LENGTH,S7COMM_ACK_DATA,"0,2,4,7,8,10,12,14,16,18,19,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""FLAGS"", ""18"": ""FLAGS"", ""19"": ""COMMAND"", ""20"": ""FLAGS"", ""21"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""19"": ""CONTROL_CMD""}"
1,0300001f02f080320700000b00000800060001120411430200ff0900023038,31,S7COMM,S7COMM_USERDATA,1,11,FLAGS,DATA_LENGTH,S7COMM_USERDATA,"0,2,4,7,8,10,12,14,16,18,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""COMMAND"", ""18"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""17"": ""CONTROL_CMD""}"
2,0300002502f080320700000b00000c0008000112081283020100000000ff09000400012203,37,S7COMM,S7COMM_USERDATA,1,11,FLAGS,DATA_LENGTH,S7COMM_USERDATA,"0,2,4,7,8,10,12,14,16,18,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""COMMAND"", ""18"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""17"": ""CONTROL_CMD""}"
3,0300002502f080320700000c000008000c0001120411430300ff0900083041303030303142,37,S7COMM,S7COMM_USERDATA,1,11,FLAGS,DATA_LENGTH,S7COMM_USERDATA,"0,2,4,7,8,10,12,14,16,18,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""COMMAND"", ""18"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""17"": ""CONTROL_CMD""}"
4,0300002102f080320700000c00000c000400011208128303000000d2090a000000,33,S7COMM,S7COMM_USERDATA,1,11,FLAGS,DATA_LENGTH,S7COMM_USERDATA,"0,2,4,7,8,10,12,14,16,18,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""COMMAND"", ""18"": ""FLAGS"", ""19"": ""FLAGS"", ""20"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""17"": ""CONTROL_CMD""}"
5,0300003102f080320100000e00002000001a00010000000000095f30413030303031500d31303030353030303030343030,49,S7COMM,S7COMM_JOB_REQUEST,1,11,FLAGS,DATA_LENGTH,S7COMM_JOB_REQUEST,"0,2,4,7,8,10,12,14,16,18,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""COMMAND"", ""18"": ""FLAGS"", ""19"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""17"": ""CONTROL_CMD""}"
6,0300001402f080320300000e000001000000001a,20,S7COMM,S7COMM_ACK_DATA,1,11,FLAGS,DATA_LENGTH,S7COMM_ACK_DATA,"0,2,4,7,8,10,12,14,16,18,19","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""FLAGS"", ""18"": ""FLAGS"", ""19"": ""COMMAND""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""19"": ""CONTROL_CMD""}"
7,0300002302f080320100000100001200001b00000000000000095f3041303030303150,35,S7COMM,S7COMM_JOB_REQUEST,1,11,FLAGS,DATA_LENGTH,S7COMM_JOB_REQUEST,"0,2,4,7,8,10,12,14,16,18,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""COMMAND"", ""18"": ""FLAGS"", ""19"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""17"": ""CONTROL_CMD""}"
8,030000f702f080320300000100000200e200001b0100de00fb70700101050a0001000001f400000000029147602bb5029147602bb5001c000000000190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,247,S7COMM,S7COMM_ACK_DATA,1,12,FLAGS,DATA_LENGTH,S7COMM_ACK_DATA,"0,2,4,7,8,10,12,14,16,18,19,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""FLAGS"", ""18"": ""FLAGS"", ""19"": ""COMMAND"", ""20"": ""FLAGS"", ""21"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""19"": ""CONTROL_CMD""}"
9,0300002302f080320100000300001200001b00000000000000095f3041303030303150,35,S7COMM,S7COMM_JOB_REQUEST,1,11,FLAGS,DATA_LENGTH,S7COMM_JOB_REQUEST,"0,2,4,7,8,10,12,14,16,18,20","{""0"": ""HEADER"", ""1"": ""HEADER"", ""2"": ""FLAGS"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS"", ""6"": ""FLAGS"", ""7"": ""HEADER"", ""8"": ""COMMAND"", ""9"": ""HEADER"", ""10"": ""HEADER"", ""11"": ""FLAGS"", ""12"": ""FLAGS"", ""13"": ""FLAGS"", ""14"": ""FLAGS"", ""15"": ""FLAGS"", ""16"": ""FLAGS"", ""17"": ""COMMAND"", ""18"": ""FLAGS"", ""19"": ""PAYLOAD""}","{""2"": ""DATA_LENGTH"", ""3"": ""DATA_LENGTH"", ""8"": ""CONTROL_CMD"", ""13"": ""DATA_LENGTH"", ""14"": ""DATA_LENGTH"", ""15"": ""DATA_LENGTH"", ""16"": ""DATA_LENGTH"", ""17"": ""CONTROL_CMD""}"
