Index,HexData,Length,Protocol,FunctionCode,HasBoundary,BoundaryCount,SemanticType,SemanticFunction,Label,Boundaries,SemanticTypes,SemanticFunctions
0,170303008b000000000000000939674f6d5d7d63a04a31c0ff23f47685401cfd312de151e33d250551b7a537f625299a116aecaf9929cec49cf9a94a7546990c996fade8a23f168e6f91046bebf3531fe43697aa98bfc3112ec265c0647849df71c682542b865b88ec8ef5d2347e7fc4ab7384d787ae36ed091e93536cb2f855eae2ec61f9d59c49e2a946acae5e34d0,144,TLS12,TLS_170303,1,4,HEADER,DATA_LENGTH,TLS_170303,"1,3,5,6","{""0"": ""COMMAND"", ""1"": ""HEADER"", ""2"": ""HEADER"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""3"": ""DATA_LENGTH"", ""4"": ""DATA_LENGTH""}"
1,160303004d020000490303551bfa7ab18b0642f59bbe56a633efc6e9cd009802309a626431a2055e300fa000c02b00002100000000ff01000100000b000403000102002300000010000800060568322d3135,82,TLS12,UNKNOWN,1,10,DATA,UNKNOWN,UNKNOWN,,{},{}
2,1603030046100000424104b1b634c3bbfb876f7c9e13093ad8ea1a9e7951fbb5a98ab79e532fe03d0f36b1f967700a99b7528f256d34f5bd7e335e7370b3d0d12de6e63795d09f5e726ce3,75,TLS12,UNKNOWN,1,9,DATA,UNKNOWN,UNKNOWN,,{},{}
3,140303000101,6,TLS12,TLS_140303,1,3,FLAGS,DATA_LENGTH,TLS_140303,"1,3,5","{""0"": ""COMMAND"", ""1"": ""HEADER"", ""2"": ""HEADER"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS""}","{""0"": ""CONTROL_CMD"", ""3"": ""DATA_LENGTH"", ""4"": ""DATA_LENGTH""}"
4,1603030028000000000000000075a97f284c2018999ca2f57fb322489694750ff8c06c9d3636280169b2135646,45,TLS12,UNKNOWN,1,5,DATA,UNKNOWN,UNKNOWN,,{},{}
5,17030300520000000000000001667ea363a3fde4173f86d384b3f4487ef04af765b5dbdfe4a77bb0dac01e43b6a78de3c8700f47a0647a6fa0d7bb590fdbf2e45654650552e6f7563c508116e1965b779671270858817a,87,TLS12,TLS_170303,1,4,HEADER,DATA_LENGTH,TLS_170303,"1,3,5,6","{""0"": ""COMMAND"", ""1"": ""HEADER"", ""2"": ""HEADER"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""3"": ""DATA_LENGTH"", ""4"": ""DATA_LENGTH""}"
6,16030300be040000ba000189c000b4f574c145fcaaebb4dc13dbd7433a55629463c4b72f28c07929102306ed5a5adc723142aace05271ac90f3c722df80779a0324258bd26ef608b73d417c91a2f4f7f8f964ebbd2d01d29c9b7c4f78fc81738969fa643f6dfc80b51455230ed946c060ccbb93f7ea3b4b133a4393d516b67365d344e556c1948707dd0377ee30b350ee1fcb678fc18af42508b9fa161235363c0269ff8e6edea285da0aabf983ac4bd562d147ee80569af0d772a5184e9d520d631d7,195,TLS12,UNKNOWN,1,24,DATA,UNKNOWN,UNKNOWN,,{},{}
7,140303000101,6,TLS12,TLS_140303,1,3,FLAGS,DATA_LENGTH,TLS_140303,"1,3,5","{""0"": ""COMMAND"", ""1"": ""HEADER"", ""2"": ""HEADER"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""FLAGS""}","{""0"": ""CONTROL_CMD"", ""3"": ""DATA_LENGTH"", ""4"": ""DATA_LENGTH""}"
8,160303002800000000000000008ce000eebe979453642b6d07d7d75ef08c8d366acc2cf863cece5267169f43bc,45,TLS12,UNKNOWN,1,5,DATA,UNKNOWN,UNKNOWN,,{},{}
9,170303003300000000000000018d0ec159e6e87524fa34f969f6aad4b433b4af53b4cb6d597f441884ac56b8c3bc1602f61d6a1681df00fe,56,TLS12,TLS_170303,1,4,HEADER,DATA_LENGTH,TLS_170303,"1,3,5,6","{""0"": ""COMMAND"", ""1"": ""HEADER"", ""2"": ""HEADER"", ""3"": ""FLAGS"", ""4"": ""FLAGS"", ""5"": ""PAYLOAD""}","{""0"": ""CONTROL_CMD"", ""3"": ""DATA_LENGTH"", ""4"": ""DATA_LENGTH""}"
