Hexstream,Split Indexes,Splited Hexstream
000100000006ff050000ff00,"[0, 2, 4, 6, 7, 8, 10, 11, 12]",0001 0000 0006 ff 05 0000 ff 00
000100000006ff050000ff00,"[0, 2, 4, 6, 7, 8, 10, 11, 12]",0001 0000 0006 ff 05 0000 ff 00
000200000006ff0100000001,"[0, 2, 4, 6, 7, 8, 10, 12]",0002 0000 0006 ff 01 0000 0001
000200000004ff010101,"[0, 2, 4, 6, 7, 8, 9, 10]",0002 0000 0004 ff 01 01 01
000300000014ff0f000000630d8b29ede70d104d95377ada2003,"[0, 2, 4, 6, 7, 8, 10, 12, 13, 26]",0003 0000 0014 ff 0f 0000 0063 0d 8b29ede70d104d95377ada2003
000300000006ff0f00000063,"[0, 2, 4, 6, 7, 8, 10, 12]",0003 0000 0006 ff 0f 0000 0063
000400000006ff0100000063,"[0, 2, 4, 6, 7, 8, 10, 12]",0004 0000 0006 ff 01 0000 0063
000400000010ff010d8b29ede70d104d95377ada2003,"[0, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0004 0000 0010 ff 01 0d 8b 29 ed e7 0d 10 4d 95 37 7a da 20 03
000500000006ff060000d715,"[0, 2, 4, 6, 7, 8, 10, 12]",0005 0000 0006 ff 06 0000 d715
000500000006ff060000d715,"[0, 2, 4, 6, 7, 8, 10, 12]",0005 0000 0006 ff 06 0000 d715
000600000006ff0300000001,"[0, 2, 4, 6, 7, 8, 10, 12]",0006 0000 0006 ff 03 0000 0001
000600000005ff0302d715,"[0, 2, 4, 6, 7, 8, 9, 11]",0006 0000 0005 ff 03 02 d715
0007000000cdff1000000063c6d71564f5c878cc65e960329255d0c4a9471b8dd07a36a0fd5d62836df3c4ea8aa2bdb7a0243f9b61042c3e2d2321cddd281b66a321391bdaffb837df834fd6cf9cd54bc8a33586377e5af9064ae2c57686d8c5186674e43a48875a3acec6eb4411dbf30686a716073134a9c8e3e55950106d0520752b10263cfff87ae6f6d9d544438a2d600dc29e8335aaef88160a0e7008ee8bee48b88f48c7bd0fa3d55aa2b0162a7d70aae14bd44554903a9de4b359b0afc8f4da96b0a844dbd17086ec8865ffd093af28,"[0, 2, 4, 6, 7, 8, 10, 12, 13, 211]",0007 0000 00cd ff 10 0000 0063 c6 d71564f5c878cc65e960329255d0c4a9471b8dd07a36a0fd5d62836df3c4ea8aa2bdb7a0243f9b61042c3e2d2321cddd281b66a321391bdaffb837df834fd6cf9cd54bc8a33586377e5af9064ae2c57686d8c5186674e43a48875a3acec6eb4411dbf30686a716073134a9c8e3e55950106d0520752b10263cfff87ae6f6d9d544438a2d600dc29e8335aaef88160a0e7008ee8bee48b88f48c7bd0fa3d55aa2b0162a7d70aae14bd44554903a9de4b359b0afc8f4da96b0a844dbd17086ec8865ffd093af28
000800000006ff0300000063,"[0, 2, 4, 6, 7, 8, 10, 12]",0008 0000 0006 ff 03 0000 0063
