Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,000000cafe534d424000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004100010010020000303839666261326135633533000000000300000000000100000001000000010050d8083b163ed901000000000000000080004a0000000000604806062b0601050502a03e303ca00e300c060a2b06010401823702020aa32a3028a0261b246e6f745f646566696e65645f696e5f5246433431373840706c656173655f69676e6f7265,"[0, 10, 12, 18, 36, 68, 72, 74, 92, 93, 108, 114, 206]",000000cafe534d424000 0000 000000000000 010001000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 41000100 1002 000030383966626132613563353300000000 03 000000000001000000010000000100 50d8083b163e d901000000000000000080004a0000000000604806062b0601050502a03e303ca00e300c060a2b06010401823702020aa32a3028a0261b246e6f745f646566696e65645f696e5f5246433431373840706c656173655f69676e6f7265,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 74, 76, 92, 96, 100, 104, 108, 116, 124, 126, 128, 132, 136, 142, 144, 150, 152, 162, 164, 170, 206]",00 0000ca fe534d42 4000 0000 00000000 0000 0100 01000000 00000000 0000000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 4100 01 00 1002 0000 30383966626132613563353300000000 03000000 00000100 00000100 00000100 50d8083b163ed901 0000000000000000 8000 4a00 00000000 60480606 2b0601050502 a03e 303ca00e300c 060a 2b06010401823702020a a32a 3028a0261b24 6e6f745f646566696e65645f696e5f5246433431373840706c656173655f69676e6f7265,0.8333333333333334,0.05128205128205128,0.8181818181818182,0.23684210526315788,0.848780487804878,0.3673469387755102,0.011976047904191617
2,0000011ffe534d4240000000160000c001000100010000000000000001000000000000000000000000000000555499db0000000000000000000000000000000000000000090000004800d700a181d43081d1a0030a0101a10c060a2b06010401823702020aa281bb0481b84e544c4d5353500002000000180018003800000015828a62616161616161616100000000000000006800680050000000060100000000000f3000380039004600420041003200410035004300350033000200180030003800390046004200410032004100350043003500330001001800300038003900460042004100320041003500430035003300040000000300180030003800390066006200610032006100350063003500330007000800d66a093b163ed90100000000,"[0, 10, 12, 36, 52, 54, 60, 62, 64, 66, 68, 128, 131, 279, 287, 291]",0000011ffe534d424000 0000 160000c00100010001000000000000000100000000000000 0000000000000000555499db00000000 0000 000000000000 0000 0000 0000 0000 090000004800d700a181d43081d1a0030a0101a10c060a2b06010401823702020aa281bb0481b84e544c4d5353500002000000180018003800000015 828a62 616161616161616100000000000000006800680050000000060100000000000f3000380039004600420041003200410035004300350033000200180030003800390046004200410032004100350043003500330001001800300038003900460042004100320041003500430035003300040000000300180030003800390066006200610032006100350063003500330007000800 d66a093b163ed901 00000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 79, 86, 87, 91, 101, 107, 115, 119, 121, 123, 127, 131, 139, 147, 149, 151, 155, 156, 157, 159, 162, 163, 187, 189, 191, 215, 217, 219, 243, 245, 247, 249, 251, 275, 277, 279, 287, 289, 291]",00 00011f fe534d42 4000 0000 160000c0 0100 0100 01000000 00000000 0100000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0000 4800 d700 a181d4 3081d1a0030a01 01 a10c060a 2b06010401823702020a a281bb0481b8 4e544c4d53535000 02000000 1800 1800 38000000 15828a62 6161616161616161 0000000000000000 6800 6800 50000000 06 01 0000 000000 0f 300038003900460042004100320041003500430035003300 0200 1800 300038003900460042004100320041003500430035003300 0100 1800 300038003900460042004100320041003500430035003300 0400 0000 0300 1800 300038003900660062006100320061003500630035003300 0700 0800 d66a093b163ed901 0000 0000,0.9333333333333333,0.034482758620689655,0.5714285714285714,0.14035087719298245,0.8103448275862069,0.22535211267605634,0.02575107296137339
3,00000051fe534d42400000000000000001000020010000000000000002000000000000000000000000000000555499db00000000000000000000000000000000000000000900010048000900a1073005a0030a0100,"[0, 10, 12, 16, 36, 48, 50, 53, 55, 64, 66, 68, 85]",00000051fe534d424000 0000 00000000 0100002001000000000000000200000000000000 0000000000000000555499db 0000 000000 0000 000000000000000000 0000 0000 0900010048000900a1073005a0030a0100,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 78, 84, 85]",00 000051 fe534d42 4000 0000 00000000 0100 0020 01000000 00000000 0200000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0100 4800 0900 a107 3005a0030a01 00,0.8333333333333334,0.09090909090909091,0.45454545454545453,0.23809523809523808,0.7380952380952381,0.31249999999999994,0.09523809523809523
4,00000050fe534d424000000000000000030001000100000000000000030000000000000000000000950b2345555499db0000000000000000000000000000000000000000100002000000000000000000a9001f00,"[0, 10, 12, 16, 18, 20, 22, 28, 68, 84]",00000050fe534d424000 0000 00000000 0300 0100 0100 000000000000 030000000000000000000000950b2345555499db0000000000000000000000000000000000000000 100002000000000000000000a9001f00,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 84]",00 000050 fe534d42 4000 0000 00000000 0300 0100 01000000 00000000 0300000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 1000 02 00 00000000 00000000 a9001f00,0.8888888888888888,0.19047619047619047,0.875,0.35,0.8313253012048193,0.4999999999999999,0.015873015873015872
5,00000049fe534d4240000000250200c00b0001000100000000000000040000000000000000000000950b2345555499db0000000000000000000000000000000000000000090000000000000000,"[0, 10, 77]",00000049fe534d424000 0000250200c00b0001000100000000000000040000000000000000000000950b2345555499db0000000000000000000000000000000000000000090000000000000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 77]",00 000049 fe534d42 4000 0000 250200c0 0b00 0100 01000000 00000000 0400000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 0900 00 00 00000000 00,1.0,0.0,1.0,0.05263157894736842,0.7631578947368421,0.1,0.0
6,00000044fe534d424000000000000000040001000100000000000000050000000000000000000000950b2345555499db000000000000000000000000000000000000000004000000,"[0, 10, 12, 16, 18, 20, 22, 28, 72]",00000044fe534d424000 0000 00000000 0400 0100 0100 000000000000 050000000000000000000000950b2345555499db000000000000000000000000000000000000000004000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 00000000 0400 0100 01000000 00000000 0500000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 0400 0000,0.875,0.23529411764705882,0.8571428571428571,0.375,0.8450704225352113,0.5217391304347825,0.01818181818181818
7,00000050fe534d424000000000000000030001000100000000000000060000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000100001000000000000000000ff011f00,"[0, 10, 12, 16, 18, 20, 22, 28, 70, 84]",00000050fe534d424000 0000 00000000 0300 0100 0100 000000000000 060000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000001000 01000000000000000000ff011f00,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 84]",00 000050 fe534d42 4000 0000 00000000 0300 0100 01000000 00000000 0600000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 1000 01 00 00000000 00000000 ff011f00,0.8888888888888888,0.19047619047619047,0.875,0.35,0.8313253012048193,0.4999999999999999,0.015873015873015872
8,00000044fe534d4240000000000000000d00010001000000000000000700000000000000000000000000000000000000000000000000000000000000000000000000000004000000,"[0, 10, 12, 16, 18, 20, 22, 28, 68, 72]",00000044fe534d424000 0000 00000000 0d00 0100 0100 000000000000 07000000000000000000000000000000000000000000000000000000000000000000000000000000 04000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 00000000 0d00 0100 01000000 00000000 0700000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 0400 0000,0.8888888888888888,0.23529411764705882,0.875,0.4375,0.8591549295774648,0.5833333333333334,0.01818181818181818
9,00000098fe534d424000000000000000050001000100000000000000080000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000005900000001000000235654f2153ed9015ec945f4153ed901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000000000000cdaff4b600000000289fb07d000000000000000000000000,"[0, 10, 12, 16, 18, 20, 22, 28, 72, 84, 90, 132, 137, 140, 156]",00000098fe534d424000 0000 00000000 0500 0100 0100 000000000000 080000000000000000000000e2f6cdf0555499db000000000000000000000000000000000000000059000000 01000000235654f2153ed901 5ec945f4153e d901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000000000000 cdaff4b600 000000 289fb07d000000000000000000000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 84, 92, 100, 108, 116, 124, 128, 132, 148, 152, 156]",00 000098 fe534d42 4000 0000 00000000 0500 0100 01000000 00000000 0800000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 5900 00 00 01000000 235654f2153ed901 5ec945f4153ed901 235654f2153ed901 235654f2153ed901 0000000000000000 0000000000000000 10000000 00000000 cdaff4b600000000289fb07d00000000 00000000 00000000,0.7857142857142857,0.13333333333333333,0.6923076923076923,0.3103448275862069,0.8451612903225807,0.4285714285714286,0.031746031746031744
10,00000216fe534d4240000000000000000e0001000100000000000000090000000000000000000000e2f6cdf0555499db000000000000000000000000000000000000000009004800ce0100007000000000000000235654f2153ed9015ec945f4153ed901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000002000000000000000000000000000000000000000000000000000000000000000000000084120a07000000002e000000000000007000000000000000c2867bb9ce39d901072d7952143ed901c2867bb9ce39d901c2867bb9ce39d901000000000000000000000000000000001000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e002e00000000007000000000000000235654f2153ed90139cda2ff153ed9017ac285fe153ed9017ac285fe153ed901000000000000000000000000000000001000000006000000000000000000000000000000000000000000000000000000000000000000000085120a0700000000640069007200000000000000000000009febacdecd39d901596849ed153ed9019febacdecd39d9019febacdecd39d9016d0100000000000000100000000000008000000016000000000000000000000000000000000000000000000000000000000000000000000087120a07000000006e006500740077006f0072006b002e0078006d006c00,"[0, 10, 12, 16, 18, 20, 22, 28, 68, 70, 72, 92, 98, 204, 210, 316, 322, 420, 452, 538]",00000216fe534d424000 0000 00000000 0e00 0100 0100 000000000000 090000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000 0900 4800 ce0100007000000000000000235654f2153ed901 5ec945f4153e d901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000002000000000000000000000000000000000000000000000000000000000000000000000084120a07000000002e000000000000007000000000000000c2867bb9ce39d901 072d7952143e d901c2867bb9ce39d901c2867bb9ce39d901000000000000000000000000000000001000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e002e00000000007000000000000000235654f2153ed901 39cda2ff153e d9017ac285fe153ed9017ac285fe153ed901000000000000000000000000000000001000000006000000000000000000000000000000000000000000000000000000000000000000000085120a070000000064006900720000000000000000000000 9febacdecd39d901596849ed153ed9019febacdecd39d9019febacdecd39d901 6d0100000000000000100000000000008000000016000000000000000000000000000000000000000000000000000000000000000000000087120a07000000006e006500740077006f0072006b002e0078006d006c00,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 76, 182, 188, 296, 300, 410, 412, 538]",00 000216 fe534d42 4000 0000 00000000 0e00 0100 01000000 00000000 0900000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 0900 4800 ce010000 7000000000000000235654f2153ed9015ec945f4153ed901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000002000000000000000000000000000000000000000000000000000000000000000000000084120a07000000002e00 000000000000 7000000000000000c2867bb9ce39d901072d7952143ed901c2867bb9ce39d901c2867bb9ce39d901000000000000000000000000000000001000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e002e00 00000000 7000000000000000235654f2153ed90139cda2ff153ed9017ac285fe153ed9017ac285fe153ed901000000000000000000000000000000001000000006000000000000000000000000000000000000000000000000000000000000000000000085120a0700000000640069007200 0000 00000000000000009febacdecd39d901596849ed153ed9019febacdecd39d9019febacdecd39d9016d0100000000000000100000000000008000000016000000000000000000000000000000000000000000000000000000000000000000000087120a07000000006e006500740077006f0072006b002e0078006d006c00,0.7368421052631579,0.24,0.5,0.375,0.9553072625698324,0.42857142857142855,0.017543859649122806
