Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,00000068fe534d42400000000000000000001f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400020001000000000000006b1bb4ad883fb647813c8496b5ba245e000000000000000002021002,"[0, 1, 4, 10, 12, 16, 18, 20, 21, 24, 36, 68, 72, 106, 108]",00 000068 fe534d424000 0000 00000000 0000 1f00 00 000000 000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 24000200 01000000000000006b1bb4ad883fb647813c8496b5ba245e00000000000000000202 1002,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 73, 74, 76, 80, 96, 100, 102, 104, 106, 108]",00 000068 fe534d42 4000 0000 0000 0000 0000 1f00 00000000 00000000 0000000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 2400 0200 01 00 0000 00000000 6b1bb4ad883fb647813c8496b5ba245e 00000000 0000 0000 0202 1002,1.0,0.21428571428571427,0.9230769230769231,0.4444444444444444,0.8504672897196262,0.6,0.0125
2,000000a2fe534d4240000000000000000100002000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000019000001010000000000000058004a000000000000000000604806062b0601050502a03e303ca00e300c060a2b06010401823702020aa22a04284e544c4d53535000010000001582086200000000280000000000000028000000060100000000000f,"[0, 3, 4, 10, 12, 16, 18, 20, 21, 24, 36, 44, 52, 68, 71, 80, 84, 92, 138, 139, 142, 166]",000000 a2 fe534d424000 0000 00000000 0100 0020 00 000000 000000000100000000000000 0000000000000000 0000000000000000 00000000000000000000000000000000 190000 010100000000000000 58004a00 0000000000000000 604806062b0601050502a03e303ca00e300c060a2b06010401823702020aa22a04284e544c4d5353500001000000 15 820862 00000000280000000000000028000000060100000000000f,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 82, 84, 92, 96, 102, 104, 110, 112, 122, 126, 134, 138, 142, 150, 158, 159, 160, 162, 165, 166]",00 0000a2 fe534d42 4000 0000 0000 0000 0100 0020 00000000 00000000 0100000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 1900 00 01 01000000 00000000 5800 4a00 0000000000000000 60480606 2b0601050502 a03e 303ca00e300c 060a 2b06010401823702020a a22a0428 4e544c4d53535000 01000000 15820862 0000000028000000 0000000028000000 06 01 0000 000000 0f,0.9523809523809523,0.14634146341463414,0.85,0.425,0.8424242424242424,0.5666666666666667,0.024
3,00000240fe534d42400000000000000001000020000000000000000002000000000000000000000000000000555499db00000000000000000000000000000000000000001900000101000000000000005800e8010000000000000000a18201e4308201e0a28201c8048201c44e544c4d5353500003000000180018005800000008010801700000001200120078010000120012008a010000180018009c01000010001000b401000015820862060100000000000f105ed804b964a181898ffcd48e060fee00000000000000000000000000000000000000000000000009e7332cf6c955cec85bbbb0caea84330101000000000000d66a093b163ed90174b00c8ca6c5706e0000000002001800300038003900460042004100320041003500430035003300010018003000380039004600420041003200410035004300350033000400020000000300180030003800390066006200610032006100350063003500330007000800d66a093b163ed90106000400020000000800300030000000000000000000000000000000d9762ffe063c2906c3da76bcc7d2af1254f45e4447cf7629b25580fd9a9883da0a0010000000000000000000000000000000000009001e0063006900660073002f003100370032002e00310037002e0030002e0033000000000057004f0052004b00470052004f00550050007700670031005f007500730065007200310043004300340043004200440041003400300046003500430018051c51e1b74618e72fb28e46deca2fa312041001000000025b45cb2f96f51b00000000,"[0, 4, 10, 12, 16, 18, 20, 21, 24, 36, 44, 48, 52, 68, 70, 71, 80, 82, 83, 84, 92, 94, 95, 124, 125, 140, 141, 148, 149, 156, 157, 164, 165, 168, 264, 358, 364, 366, 368, 370, 376, 378, 428, 430, 448, 450, 480, 484, 560, 564, 580]",00000240 fe534d424000 0000 00000000 0100 0020 00 000000 000000000200000000000000 0000000000000000 555499db 00000000 00000000000000000000000000000000 1900 00 010100000000000000 5800 e8 01 0000000000000000 a182 01 e4308201e0a28201c8048201c44e544c4d535350000300000018001800 58 000000080108017000000012001200 78 01000012001200 8a 01000018001800 9c 01000010001000 b4 010000 15820862060100000000000f105ed804b964a181898ffcd48e060fee00000000000000000000000000000000000000000000000009e7332cf6c955cec85bbbb0caea84330101000000000000d66a093b163ed90174b00c8ca6c5706e00000000 02001800300038003900460042004100320041003500430035003300010018003000380039004600420041003200410035004300350033000400020000000300180030003800390066006200610032006100350063003500330007000800 d66a093b163e d901 0600 0400 020000000800 3000 30000000000000000000000000000000d9762ffe063c2906c3da76bcc7d2af1254f45e4447cf7629b25580fd9a9883da0a00 1000 000000000000000000000000000000000900 1e00 63006900660073002f003100370032002e00310037002e0030002e003300 00000000 57004f0052004b00470052004f00550050007700670031005f007500730065007200310043004300340043004200440041003400300046003500430018051c51e1b74618e72fb28e46deca2f a3120410 01000000025b45cb2f96f51b00000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 82, 84, 92, 96, 108, 116, 120, 122, 124, 128, 130, 132, 136, 138, 140, 144, 146, 148, 152, 154, 156, 160, 162, 164, 168, 172, 173, 174, 176, 179, 180, 196, 204, 220, 236, 237, 238, 244, 252, 260, 264, 266, 268, 292, 294, 296, 320, 322, 324, 326, 328, 330, 354, 356, 358, 366, 368, 370, 374, 376, 378, 426, 428, 430, 446, 448, 450, 480, 482, 484, 502, 520, 544, 560, 564, 568, 580]",00 000240 fe534d42 4000 0000 0000 0000 0100 0020 00000000 00000000 0200000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 1900 00 01 01000000 00000000 5800 e801 0000000000000000 a18201e4 308201e0a28201c8048201c4 4e544c4d53535000 03000000 1800 1800 58000000 0801 0801 70000000 1200 1200 78010000 1200 1200 8a010000 1800 1800 9c010000 1000 1000 b4010000 15820862 06 01 0000 000000 0f 105ed804b964a181898ffcd48e060fee 0000000000000000 00000000000000000000000000000000 09e7332cf6c955cec85bbbb0caea8433 01 01 000000000000 d66a093b163ed901 74b00c8ca6c5706e 00000000 0200 1800 300038003900460042004100320041003500430035003300 0100 1800 300038003900460042004100320041003500430035003300 0400 0200 0000 0300 1800 300038003900660062006100320061003500630035003300 0700 0800 d66a093b163ed901 0600 0400 02000000 0800 3000 30000000000000000000000000000000d9762ffe063c2906c3da76bcc7d2af1254f45e4447cf7629b25580fd9a9883da 0a00 1000 00000000000000000000000000000000 0900 1e00 63006900660073002f003100370032002e00310037002e0030002e003300 0000 0000 57004f0052004b00470052004f0055005000 7700670031005f0075007300650072003100 430043003400430042004400410034003000460035004300 18051c51e1b74618e72fb28e46deca2f a3120410 01000000 025b45cb2f96f51b00000000,0.9,0.15306122448979592,0.7755102040816326,0.3917525773195876,0.8791018998272885,0.5205479452054795,0.022821576763485476
4,0000006afe534d42400000000000000003000100000000000000000003000000000000000000000000000000555499db000000000000000000000000000000000000000009000000480022005c005c003100370032002e00310037002e0030002e0033005c004900500043002400,"[0, 4, 10, 12, 16, 18, 20, 21, 24, 28, 29, 36, 40, 48, 52, 68, 70, 72, 76, 80, 100, 110]",0000006a fe534d424000 0000 00000000 0300 0100 00 000000 00000000 03 00000000000000 00000000 00000000555499db 00000000 00000000000000000000000000000000 0900 0000 48002200 5c005c00 3100370032002e00310037002e0030002e003300 5c004900500043002400,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 110]",00 00006a fe534d42 4000 0000 0000 0000 0300 0100 00000000 00000000 0300000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0000 4800 2200 5c005c003100370032002e00310037002e0030002e0033005c004900500043002400,0.9523809523809523,0.38095238095238093,0.75,0.75,0.908256880733945,0.75,0.056179775280898875
5,000000a4fe534d4240000000000000000b0001000000000000000000040000000000000000000000950b2345555499db00000000000000000000000000000000000000003900000094010600ffffffffffffffffffffffffffffffff780000002c000000000000007800000000000000ffff0000010000000000000003005c003100370032002e00310037002e0030002e0033005c00730068006100720065006400690072000000,"[0, 3, 4, 10, 12, 16, 18, 20, 21, 24, 28, 29, 36, 40, 48, 52, 68, 70, 72, 76, 104, 106, 112, 114, 116, 120, 168]",000000 a4 fe534d424000 0000 00000000 0b00 0100 00 000000 00000000 04 00000000000000 00000000 950b2345555499db 00000000 00000000000000000000000000000000 3900 0000 94010600 ffffffffffffffffffffffffffffffff780000002c00000000000000 7800 000000000000 ffff 0000 01000000 0000000003005c003100370032002e00310037002e0030002e0033005c00730068006100720065006400690072000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 76, 92, 96, 100, 104, 108, 112, 116, 120, 124, 126, 168]",00 0000a4 fe534d42 4000 0000 0000 0000 0b00 0100 00000000 00000000 0400000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 3900 0000 94010600 ffffffffffffffffffffffffffffffff 78000000 2c000000 00000000 78000000 00000000 ffff0000 01000000 00000000 0300 5c003100370032002e00310037002e0030002e0033005c00730068006100720065006400690072000000,0.8846153846153846,0.3333333333333333,0.76,0.6551724137931034,0.9041916167664671,0.7037037037037037,0.043478260869565216
6,00000044fe534d424000000000000000040001000000000000000000050000000000000000000000950b2345555499db000000000000000000000000000000000000000004000000,"[0, 4, 10, 12, 16, 18, 20, 21, 24, 28, 29, 36, 40, 48, 52, 68, 70, 72]",00000044 fe534d424000 0000 00000000 0400 0100 00 000000 00000000 05 00000000000000 00000000 950b2345555499db 00000000 00000000000000000000000000000000 0400 0000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 0000 0000 0400 0100 00000000 00000000 0500000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 0400 0000,0.9411764705882353,0.4444444444444444,0.8125,0.7647058823529411,0.9014084507042254,0.787878787878788,0.05555555555555555
7,00000072fe534d42400000000000000003000100000000000000000006000000000000000000000000000000555499db00000000000000000000000000000000000000000900000048002a005c005c003100370032002e00310037002e0030002e0033005c0073006800610072006500640069007200,"[0, 4, 10, 12, 16, 18, 20, 21, 24, 28, 29, 36, 40, 48, 52, 68, 70, 72, 76, 80, 100, 118]",00000072 fe534d424000 0000 00000000 0300 0100 00 000000 00000000 06 00000000000000 00000000 00000000555499db 00000000 00000000000000000000000000000000 0900 0000 48002a00 5c005c00 3100370032002e00310037002e0030002e003300 5c0073006800610072006500640069007200,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 118]",00 000072 fe534d42 4000 0000 0000 0000 0300 0100 00000000 00000000 0600000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0000 4800 2a00 5c005c003100370032002e00310037002e0030002e0033005c0073006800610072006500640069007200,0.9523809523809523,0.38095238095238093,0.75,0.75,0.9145299145299145,0.75,0.05154639175257732
8,00000044fe534d4240000000000000000d00010000000000000000000700000000000000000000000000000000000000000000000000000000000000000000000000000004000000,"[0, 4, 10, 12, 16, 18, 20, 21, 24, 28, 29, 36, 68, 70, 72]",00000044 fe534d424000 0000 00000000 0d00 0100 00 000000 00000000 07 00000000000000 0000000000000000000000000000000000000000000000000000000000000000 0400 0000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 0000 0000 0d00 0100 00000000 00000000 0700000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 0400 0000,1.0,0.3333333333333333,0.8461538461538461,0.6470588235294118,0.8873239436619719,0.7333333333333334,0.037037037037037035
9,00000079fe534d424000000000000000050001000000000000000000080000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000390000000200000000000000000000000000000000000000810000001000000003000000010000000100000078000000000000000000000000,"[0, 4, 10, 12, 16, 18, 20, 21, 24, 28, 29, 36, 40, 48, 52, 68, 70, 72, 76, 93, 95, 96, 97, 98, 104, 108, 109, 110, 124, 125]",00000079 fe534d424000 0000 00000000 0500 0100 00 000000 00000000 08 00000000000000 00000000 e2f6cdf0555499db 00000000 00000000000000000000000000000000 3900 0000 02000000 0000000000000000000000000000000081 0000 00 10 00 000003000000 01000000 01 00 0000780000000000000000000000 00,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 84, 92, 96, 100, 104, 108, 112, 114, 116, 120, 124, 125]",00 000079 fe534d42 4000 0000 0000 0000 0500 0100 00000000 00000000 0800000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 3900 00 00 02000000 0000000000000000 0000000000000000 81000000 10000000 03000000 01000000 01000000 7800 0000 00000000 00000000 00,0.8620689655172413,0.3125,0.6785714285714286,0.6129032258064516,0.8306451612903226,0.6440677966101694,0.0967741935483871
10,00000062fe534d4240000000000000000e0001000000000000000000090000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000002100250000000000cdaff4b600000000289fb07d0000000060000200000001002a00,"[0, 4, 10, 12, 16, 18, 20, 21, 24, 28, 29, 36, 40, 48, 52, 68, 70, 71, 72, 80, 84, 88, 92, 100, 102]",00000062 fe534d424000 0000 00000000 0e00 0100 00 000000 00000000 09 00000000000000 00000000 e2f6cdf0555499db 00000000 00000000000000000000000000000000 2100 25 00 00000000cdaff4b6 00000000 289fb07d 00000000 6000020000000100 2a00,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 92, 94, 96, 100, 102]",00 000062 fe534d42 4000 0000 0000 0000 0e00 0100 00000000 00000000 0900000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 2100 25 00 00000000 cdaff4b600000000289fb07d00000000 6000 0200 00000100 2a00,0.9166666666666666,0.4,0.7391304347826086,0.7083333333333334,0.8712871287128713,0.723404255319149,0.07792207792207792
