Hexstream,Split Indexes,Splited Hexstream
00000068fe534d42400000000000000000001f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400020001000000000000006b1bb4ad883fb647813c8496b5ba245e000000000000000002021002,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 73, 74, 76, 80, 96, 100, 102, 104, 106, 108]",00 000068 fe534d42 4000 0000 0000 0000 0000 1f00 00000000 00000000 0000000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 2400 0200 01 00 0000 00000000 6b1bb4ad883fb647813c8496b5ba245e 00000000 0000 0000 0202 1002
000000cafe534d424000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004100010010020000303839666261326135633533000000000300000000000100000001000000010050d8083b163ed901000000000000000080004a0000000000604806062b0601050502a03e303ca00e300c060a2b06010401823702020aa32a3028a0261b246e6f745f646566696e65645f696e5f5246433431373840706c656173655f69676e6f7265,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 74, 76, 92, 96, 100, 104, 108, 116, 124, 126, 128, 132, 136, 142, 144, 150, 152, 162, 164, 170, 206]",00 0000ca fe534d42 4000 0000 00000000 0000 0100 01000000 00000000 0000000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 4100 01 00 1002 0000 30383966626132613563353300000000 03000000 00000100 00000100 00000100 50d8083b163ed901 0000000000000000 8000 4a00 00000000 60480606 2b0601050502 a03e 303ca00e300c 060a 2b06010401823702020a a32a 3028a0261b24 6e6f745f646566696e65645f696e5f5246433431373840706c656173655f69676e6f7265
000000a2fe534d4240000000000000000100002000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000019000001010000000000000058004a000000000000000000604806062b0601050502a03e303ca00e300c060a2b06010401823702020aa22a04284e544c4d53535000010000001582086200000000280000000000000028000000060100000000000f,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 82, 84, 92, 96, 102, 104, 110, 112, 122, 126, 134, 138, 142, 150, 158, 159, 160, 162, 165, 166]",00 0000a2 fe534d42 4000 0000 0000 0000 0100 0020 00000000 00000000 0100000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 1900 00 01 01000000 00000000 5800 4a00 0000000000000000 60480606 2b0601050502 a03e 303ca00e300c 060a 2b06010401823702020a a22a0428 4e544c4d53535000 01000000 15820862 0000000028000000 0000000028000000 06 01 0000 000000 0f
0000011ffe534d4240000000160000c001000100010000000000000001000000000000000000000000000000555499db0000000000000000000000000000000000000000090000004800d700a181d43081d1a0030a0101a10c060a2b06010401823702020aa281bb0481b84e544c4d5353500002000000180018003800000015828a62616161616161616100000000000000006800680050000000060100000000000f3000380039004600420041003200410035004300350033000200180030003800390046004200410032004100350043003500330001001800300038003900460042004100320041003500430035003300040000000300180030003800390066006200610032006100350063003500330007000800d66a093b163ed90100000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 79, 86, 87, 91, 101, 107, 115, 119, 121, 123, 127, 131, 139, 147, 149, 151, 155, 156, 157, 159, 162, 163, 187, 189, 191, 215, 217, 219, 243, 245, 247, 249, 251, 275, 277, 279, 287, 289, 291]",00 00011f fe534d42 4000 0000 160000c0 0100 0100 01000000 00000000 0100000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0000 4800 d700 a181d4 3081d1a0030a01 01 a10c060a 2b06010401823702020a a281bb0481b8 4e544c4d53535000 02000000 1800 1800 38000000 15828a62 6161616161616161 0000000000000000 6800 6800 50000000 06 01 0000 000000 0f 300038003900460042004100320041003500430035003300 0200 1800 300038003900460042004100320041003500430035003300 0100 1800 300038003900460042004100320041003500430035003300 0400 0000 0300 1800 300038003900660062006100320061003500630035003300 0700 0800 d66a093b163ed901 0000 0000
00000240fe534d42400000000000000001000020000000000000000002000000000000000000000000000000555499db00000000000000000000000000000000000000001900000101000000000000005800e8010000000000000000a18201e4308201e0a28201c8048201c44e544c4d5353500003000000180018005800000008010801700000001200120078010000120012008a010000180018009c01000010001000b401000015820862060100000000000f105ed804b964a181898ffcd48e060fee00000000000000000000000000000000000000000000000009e7332cf6c955cec85bbbb0caea84330101000000000000d66a093b163ed90174b00c8ca6c5706e0000000002001800300038003900460042004100320041003500430035003300010018003000380039004600420041003200410035004300350033000400020000000300180030003800390066006200610032006100350063003500330007000800d66a093b163ed90106000400020000000800300030000000000000000000000000000000d9762ffe063c2906c3da76bcc7d2af1254f45e4447cf7629b25580fd9a9883da0a0010000000000000000000000000000000000009001e0063006900660073002f003100370032002e00310037002e0030002e0033000000000057004f0052004b00470052004f00550050007700670031005f007500730065007200310043004300340043004200440041003400300046003500430018051c51e1b74618e72fb28e46deca2fa312041001000000025b45cb2f96f51b00000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 82, 84, 92, 96, 108, 116, 120, 122, 124, 128, 130, 132, 136, 138, 140, 144, 146, 148, 152, 154, 156, 160, 162, 164, 168, 172, 173, 174, 176, 179, 180, 196, 204, 220, 236, 237, 238, 244, 252, 260, 264, 266, 268, 292, 294, 296, 320, 322, 324, 326, 328, 330, 354, 356, 358, 366, 368, 370, 374, 376, 378, 426, 428, 430, 446, 448, 450, 480, 482, 484, 502, 520, 544, 560, 564, 568, 580]",00 000240 fe534d42 4000 0000 0000 0000 0100 0020 00000000 00000000 0200000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 1900 00 01 01000000 00000000 5800 e801 0000000000000000 a18201e4 308201e0a28201c8048201c4 4e544c4d53535000 03000000 1800 1800 58000000 0801 0801 70000000 1200 1200 78010000 1200 1200 8a010000 1800 1800 9c010000 1000 1000 b4010000 15820862 06 01 0000 000000 0f 105ed804b964a181898ffcd48e060fee 0000000000000000 00000000000000000000000000000000 09e7332cf6c955cec85bbbb0caea8433 01 01 000000000000 d66a093b163ed901 74b00c8ca6c5706e 00000000 0200 1800 300038003900460042004100320041003500430035003300 0100 1800 300038003900460042004100320041003500430035003300 0400 0200 0000 0300 1800 300038003900660062006100320061003500630035003300 0700 0800 d66a093b163ed901 0600 0400 02000000 0800 3000 30000000000000000000000000000000d9762ffe063c2906c3da76bcc7d2af1254f45e4447cf7629b25580fd9a9883da 0a00 1000 00000000000000000000000000000000 0900 1e00 63006900660073002f003100370032002e00310037002e0030002e003300 0000 0000 57004f0052004b00470052004f0055005000 7700670031005f0075007300650072003100 430043003400430042004400410034003000460035004300 18051c51e1b74618e72fb28e46deca2f a3120410 01000000 025b45cb2f96f51b00000000
00000051fe534d42400000000000000001000020010000000000000002000000000000000000000000000000555499db00000000000000000000000000000000000000000900010048000900a1073005a0030a0100,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 78, 84, 85]",00 000051 fe534d42 4000 0000 00000000 0100 0020 01000000 00000000 0200000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0100 4800 0900 a107 3005a0030a01 00
0000006afe534d42400000000000000003000100000000000000000003000000000000000000000000000000555499db000000000000000000000000000000000000000009000000480022005c005c003100370032002e00310037002e0030002e0033005c004900500043002400,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 110]",00 00006a fe534d42 4000 0000 0000 0000 0300 0100 00000000 00000000 0300000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0000 4800 2200 5c005c003100370032002e00310037002e0030002e0033005c004900500043002400
00000050fe534d424000000000000000030001000100000000000000030000000000000000000000950b2345555499db0000000000000000000000000000000000000000100002000000000000000000a9001f00,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 84]",00 000050 fe534d42 4000 0000 00000000 0300 0100 01000000 00000000 0300000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 1000 02 00 00000000 00000000 a9001f00
000000a4fe534d4240000000000000000b0001000000000000000000040000000000000000000000950b2345555499db00000000000000000000000000000000000000003900000094010600ffffffffffffffffffffffffffffffff780000002c000000000000007800000000000000ffff0000010000000000000003005c003100370032002e00310037002e0030002e0033005c00730068006100720065006400690072000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 76, 92, 96, 100, 104, 108, 112, 116, 120, 124, 126, 168]",00 0000a4 fe534d42 4000 0000 0000 0000 0b00 0100 00000000 00000000 0400000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 3900 0000 94010600 ffffffffffffffffffffffffffffffff 78000000 2c000000 00000000 78000000 00000000 ffff0000 01000000 00000000 0300 5c003100370032002e00310037002e0030002e0033005c00730068006100720065006400690072000000
00000049fe534d4240000000250200c00b0001000100000000000000040000000000000000000000950b2345555499db0000000000000000000000000000000000000000090000000000000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 77]",00 000049 fe534d42 4000 0000 250200c0 0b00 0100 01000000 00000000 0400000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 0900 00 00 00000000 00
00000044fe534d424000000000000000040001000000000000000000050000000000000000000000950b2345555499db000000000000000000000000000000000000000004000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 0000 0000 0400 0100 00000000 00000000 0500000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 0400 0000
00000044fe534d424000000000000000040001000100000000000000050000000000000000000000950b2345555499db000000000000000000000000000000000000000004000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 00000000 0400 0100 01000000 00000000 0500000000000000 00000000 950b2345 555499db00000000 00000000000000000000000000000000 0400 0000
00000072fe534d42400000000000000003000100000000000000000006000000000000000000000000000000555499db00000000000000000000000000000000000000000900000048002a005c005c003100370032002e00310037002e0030002e0033005c0073006800610072006500640069007200,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 74, 76, 118]",00 000072 fe534d42 4000 0000 0000 0000 0300 0100 00000000 00000000 0600000000000000 00000000 00000000 555499db00000000 00000000000000000000000000000000 0900 0000 4800 2a00 5c005c003100370032002e00310037002e0030002e0033005c0073006800610072006500640069007200
00000050fe534d424000000000000000030001000100000000000000060000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000100001000000000000000000ff011f00,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 80, 84]",00 000050 fe534d42 4000 0000 00000000 0300 0100 01000000 00000000 0600000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 1000 01 00 00000000 00000000 ff011f00
00000044fe534d4240000000000000000d00010000000000000000000700000000000000000000000000000000000000000000000000000000000000000000000000000004000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 0000 0000 0d00 0100 00000000 00000000 0700000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 0400 0000
00000044fe534d4240000000000000000d00010001000000000000000700000000000000000000000000000000000000000000000000000000000000000000000000000004000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72]",00 000044 fe534d42 4000 0000 00000000 0d00 0100 01000000 00000000 0700000000000000 00000000 00000000 0000000000000000 00000000000000000000000000000000 0400 0000
00000079fe534d424000000000000000050001000000000000000000080000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000390000000200000000000000000000000000000000000000810000001000000003000000010000000100000078000000000000000000000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 84, 92, 96, 100, 104, 108, 112, 114, 116, 120, 124, 125]",00 000079 fe534d42 4000 0000 0000 0000 0500 0100 00000000 00000000 0800000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 3900 00 00 02000000 0000000000000000 0000000000000000 81000000 10000000 03000000 01000000 01000000 7800 0000 00000000 00000000 00
00000098fe534d424000000000000000050001000100000000000000080000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000005900000001000000235654f2153ed9015ec945f4153ed901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000000000000cdaff4b600000000289fb07d000000000000000000000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 84, 92, 100, 108, 116, 124, 128, 132, 148, 152, 156]",00 000098 fe534d42 4000 0000 00000000 0500 0100 01000000 00000000 0800000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 5900 00 00 01000000 235654f2153ed901 5ec945f4153ed901 235654f2153ed901 235654f2153ed901 0000000000000000 0000000000000000 10000000 00000000 cdaff4b600000000289fb07d00000000 00000000 00000000
00000062fe534d4240000000000000000e0001000000000000000000090000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000002100250000000000cdaff4b600000000289fb07d0000000060000200000001002a00,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 92, 94, 96, 100, 102]",00 000062 fe534d42 4000 0000 0000 0000 0e00 0100 00000000 00000000 0900000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 2100 25 00 00000000 cdaff4b600000000289fb07d00000000 6000 0200 00000100 2a00
00000216fe534d4240000000000000000e0001000100000000000000090000000000000000000000e2f6cdf0555499db000000000000000000000000000000000000000009004800ce0100007000000000000000235654f2153ed9015ec945f4153ed901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000002000000000000000000000000000000000000000000000000000000000000000000000084120a07000000002e000000000000007000000000000000c2867bb9ce39d901072d7952143ed901c2867bb9ce39d901c2867bb9ce39d901000000000000000000000000000000001000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e002e00000000007000000000000000235654f2153ed90139cda2ff153ed9017ac285fe153ed9017ac285fe153ed901000000000000000000000000000000001000000006000000000000000000000000000000000000000000000000000000000000000000000085120a0700000000640069007200000000000000000000009febacdecd39d901596849ed153ed9019febacdecd39d9019febacdecd39d9016d0100000000000000100000000000008000000016000000000000000000000000000000000000000000000000000000000000000000000087120a07000000006e006500740077006f0072006b002e0078006d006c00,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 76, 182, 188, 296, 300, 410, 412, 538]",00 000216 fe534d42 4000 0000 00000000 0e00 0100 01000000 00000000 0900000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 0900 4800 ce010000 7000000000000000235654f2153ed9015ec945f4153ed901235654f2153ed901235654f2153ed901000000000000000000000000000000001000000002000000000000000000000000000000000000000000000000000000000000000000000084120a07000000002e00 000000000000 7000000000000000c2867bb9ce39d901072d7952143ed901c2867bb9ce39d901c2867bb9ce39d901000000000000000000000000000000001000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e002e00 00000000 7000000000000000235654f2153ed90139cda2ff153ed9017ac285fe153ed9017ac285fe153ed901000000000000000000000000000000001000000006000000000000000000000000000000000000000000000000000000000000000000000085120a0700000000640069007200 0000 00000000000000009febacdecd39d901596849ed153ed9019febacdecd39d9019febacdecd39d9016d0100000000000000100000000000008000000016000000000000000000000000000000000000000000000000000000000000000000000087120a07000000006e006500740077006f0072006b002e0078006d006c00
00000062fe534d4240000000000000000e00010000000000000000000a0000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000002100250000000000cdaff4b600000000289fb07d0000000060000200000001002a00,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 92, 94, 96, 100, 102]",00 000062 fe534d42 4000 0000 0000 0000 0e00 0100 00000000 00000000 0a00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 2100 25 00 00000000 cdaff4b600000000289fb07d00000000 6000 0200 00000100 2a00
00000049fe534d4240000000060000800e00010001000000000000000a0000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000090000000000000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 77]",00 000049 fe534d42 4000 0000 06000080 0e00 0100 01000000 00000000 0a00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 0900 00 00 00000000 00
00000058fe534d4240000000000000000600010000000000000000000b0000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000001800000000000000cdaff4b600000000289fb07d00000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 76, 92]",00 000058 fe534d42 4000 0000 0000 0000 0600 0100 00000000 00000000 0b00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 1800 0000 00000000 cdaff4b600000000289fb07d00000000
0000007cfe534d4240000000000000000600010001000000000000000b0000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000003c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 72, 76, 84, 92, 100, 108, 116, 124, 128]",00 00007c fe534d42 4000 0000 00000000 0600 0100 01000000 00000000 0b00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 3c00 0000 00000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000
00000079fe534d4240000000000000000500010000000000000000000c0000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000390000000200000000000000000000000000000000000000800000001000000007000000010000000100000078000000000000000000000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 84, 92, 96, 100, 104, 108, 112, 114, 116, 120, 124, 125]",00 000079 fe534d42 4000 0000 0000 0000 0500 0100 00000000 00000000 0c00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 3900 00 00 02000000 0000000000000000 0000000000000000 80000000 10000000 07000000 01000000 01000000 7800 0000 00000000 00000000 00
00000098fe534d4240000000000000000500010001000000000000000c0000000000000000000000e2f6cdf0555499db00000000000000000000000000000000000000005900000001000000235654f2153ed9015ec945f4153ed901235654f2153ed901235654f2153ed9010000000000000000000000000000000010000000000000001d9e4b72000000007716d277000000000000000000000000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 84, 92, 100, 108, 116, 124, 128, 132, 148, 152, 156]",00 000098 fe534d42 4000 0000 00000000 0500 0100 01000000 00000000 0c00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 5900 00 00 01000000 235654f2153ed901 5ec945f4153ed901 235654f2153ed901 235654f2153ed901 0000000000000000 0000000000000000 10000000 00000000 1d9e4b72000000007716d27700000000 00000000 00000000
00000069fe534d4240000000000000001000010000000000000000000d0000000000000000000000e2f6cdf0555499db000000000000000000000000000000000000000029000203ffff0000000000000000000000000000000000001d9e4b72000000007716d2770000000000,"[0, 1, 4, 8, 10, 12, 14, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 70, 71, 72, 76, 78, 80, 84, 88, 92, 108, 109]",00 000069 fe534d42 4000 0000 0000 0000 1000 0100 00000000 00000000 0d00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 2900 02 03 ffff0000 0000 0000 00000000 00000000 00000000 1d9e4b72000000007716d27700000000 00
00000060fe534d4240000000000000001000010001000000000000000d0000000000000000000000e2f6cdf0555499db0000000000000000000000000000000000000000090048001800000018318b72000000002caae163000000000200000000020000,"[0, 1, 4, 8, 10, 12, 16, 18, 20, 24, 28, 36, 40, 44, 52, 68, 69, 70, 72, 76, 84, 92, 96, 100]",00 000060 fe534d42 4000 0000 00000000 1000 0100 01000000 00000000 0d00000000000000 00000000 e2f6cdf0 555499db00000000 00000000000000000000000000000000 09 00 4800 18000000 18318b7200000000 2caae16300000000 02000000 00020000
